command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.001    0.001    0.021    0.021 pointers.py:18(<module>)
      156    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
        1    0.001    0.001    0.013    0.013 GL_1_5.py:9(<module>)
        1    0.001    0.001    0.007    0.007 vertex_type_2_10_10_10_rev.py:1(<module>)
       25    0.001    0.000    0.055    0.002 sre_compile.py:567(compile)
       93    0.001    0.000    0.012    0.000 GL_2_0.py:12(_f)
        1    0.001    0.001    0.009    0.009 framebuffer_object.py:1(<module>)
      235    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       25    0.001    0.000    0.033    0.001 sre_parse.py:706(parse)
        1    0.001    0.001    0.001    0.001 DummyInterface.py:1(<module>)
       13    0.001    0.000    0.001    0.000 shlex.py:120(read_token)
        2    0.001    0.000    0.071    0.035 util.py:214(_findSoname_ldconfig)
       48    0.001    0.000    0.001    0.000 rq.py:447(__init__)
        1    0.001    0.001    0.008    0.008 __init__.py:9(<module>)
        1    0.001    0.001    0.007    0.007 GL_3_2.py:1(<module>)
        1    0.001    0.001    0.002    0.002 numerictypes.py:301(_add_aliases)
       14    0.001    0.000    0.009    0.001 baseplatform.py:379(load)
        1    0.001    0.001    0.001    0.001 PygameInterface.py:1(<module>)
       60    0.001    0.000    0.012    0.000 separate_shader_objects.py:12(_f)
        1    0.001    0.001    0.014    0.014 vertex_type_2_10_10_10_rev.py:21(<module>)
        1    0.001    0.001    0.001    0.001 _iotools.py:3(<module>)
       17    0.001    0.000    0.003    0.000 argparse.py:154(__init__)
        1    0.001    0.001    0.008    0.008 internalformat_query2.py:1(<module>)
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:3(<module>)
      199    0.001    0.000    0.001    0.000 {min}
       19    0.001    0.000    0.001    0.000 nosetester.py:179(__init__)
        1    0.001    0.001    0.001    0.001 ctypeslib.py:51(<module>)
       84    0.001    0.000    0.008    0.000 GL_3_0.py:12(_f)
        1    0.001    0.001    0.011    0.011 freeglut.py:6(<module>)
        1    0.001    0.001    0.001    0.001 vbo.py:32(<module>)
        1    0.001    0.001    0.001    0.001 extensions.py:5(<module>)
      139    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.175    0.175 _numpysurfarray.py:45(<module>)
        1    0.001    0.001    0.006    0.006 GL_1_5.py:1(<module>)
        1    0.001    0.001    0.001    0.001 RGBColorTools.py:4(<module>)
      166    0.001    0.000    0.001    0.000 {method 'release' of 'thread.lock' objects}
        1    0.001    0.001    0.008    0.008 vertex_buffer_object.py:67(<module>)
       17    0.001    0.000    0.001    0.000 argparse.py:1400(_get_optional_kwargs)
        1    0.001    0.001    0.006    0.006 GL_3_1.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _opaque.py:1(<module>)
        1    0.001    0.001    0.010    0.010 subprocess.py:1195(_execute_child)
        1    0.001    0.001    0.001    0.001 constant.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:173(<module>)
        1    0.001    0.001    0.001    0.001 stride_tricks.py:7(<module>)
        1    0.001    0.001    0.003    0.003 GL_1_2.py:1(<module>)
       31    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
        1    0.001    0.001    0.001    0.001 SuperPixelBros.py:1(<module>)
        5    0.001    0.000    0.001    0.000 functools.py:17(update_wrapper)
       26    0.001    0.000    0.001    0.000 numerictypes.py:229(bitname)
        1    0.000    0.000    0.008    0.008 program_interface_query.py:45(<module>)
        1    0.000    0.000    0.005    0.005 event.py:21(<module>)
        1    0.000    0.000    0.001    0.001 wrapper.py:1(<module>)
        1    0.000    0.000    0.009    0.009 internalformat_query2.py:57(<module>)
        1    0.000    0.000    0.005    0.005 shader_image_load_store.py:54(<module>)
        1    0.000    0.000    0.011    0.011 gpu_shader_fp64.py:61(<module>)
      153    0.000    0.000    0.000    0.000 baseplatform.py:112(wrapContextCheck)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
       40    0.000    0.000    0.002    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 Tron.py:1(<module>)
       40    0.000    0.000    0.005    0.000 core.py:105(get_object_signature)
        1    0.000    0.000    0.007    0.007 sampler_objects.py:38(<module>)
      163    0.000    0.000    0.000    0.000 logs.py:75(logOnFail)
       58    0.000    0.000    0.009    0.000 GL_3_3.py:12(_f)
        1    0.000    0.000    0.012    0.012 GL_1_2_images.py:9(<module>)
        1    0.000    0.000    0.005    0.005 gpu_shader_fp64.py:1(<module>)
        1    0.000    0.000    0.009    0.009 GL_4_4.py:9(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:1063(_fixupParents)
        1    0.000    0.000    0.005    0.005 vertex_buffer_object.py:1(<module>)
        1    0.000    0.000    0.007    0.007 uniform_buffer_object.py:113(<module>)
        1    0.000    0.000    0.007    0.007 viewport_array.py:35(<module>)
      104    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
       23    0.000    0.000    0.004    0.000 core.py:6267(getdoc)
        3    0.000    0.000    0.006    0.002 __init__.py:349(__init__)
       49    0.000    0.000    0.000    0.000 images.py:463(__init__)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
       45    0.000    0.000    0.009    0.000 GL_4_3.py:12(_f)
      176    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
